Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Taxonomic lineage	Class	Seq_count	pattern	clades
tr|A0A7L5XYW6|A0A7L5XYW6_9HYPH_Autoinducer_binding_domain-containing_protein_OS=Rhodoblastus_sp_OX=1962975_GN=HZY79_10490_PE=4_SV=1	unreviewed	A0A7L5XYW6_9HYPH	Autoinducer binding domain-containing protein	HZY79_10490	Rhodoblastus sp	240	unclassified Rhodoblastus (no rank), Rhodoblastus (genus), Beijerinckiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A7L5XYW6	clade_2
tr|A0A7L8S699|A0A7L8S699_9HYPH_Autoinducer_binding_domain-containing_protein_OS=Aminobacter_sp._SR38_OX=2774562_GN=IG197_31475_PE=4_SV=1	unreviewed	A0A7L8S699_9HYPH	Autoinducer binding domain-containing protein	IG197_31475	Aminobacter sp. SR38	255	unclassified Aminobacter (no rank), Aminobacter (genus), Phyllobacteriaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	57	tr|A0A7L8S699	clade_5
tr|A0A7S7QSP2|A0A7S7QSP2_9BRAD_HTH_luxR-type_domain-containing_protein_OS=Bradyrhizobium_sp._CCBAU_51753_OX=1325100_GN=XH93_25945_PE=4_SV=1	unreviewed	A0A7S7QSP2_9BRAD	HTH luxR-type domain-containing protein	XH93_25945	Bradyrhizobium sp. CCBAU 51753	260	unclassified Bradyrhizobium (no rank), Bradyrhizobium (genus), Nitrobacteraceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	83	tr|A0A7S7QSP2	clade_4
tr|A0A7S9LVY6|A0A7S9LVY6_9RHOB_Autoinducer_binding_domain-containing_protein_OS=Pontivivens_ytuae_OX=2789856_GN=I0K15_08360_PE=4_SV=1	unreviewed	A0A7S9LVY6_9RHOB	Autoinducer binding domain-containing protein	I0K15_08360	Pontivivens ytuae	247	Pontivivens (genus), Paracoccaceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A7S9LVY6	clade_2
tr|A0A7S9WG76|A0A7S9WG76_9RHOB_Autoinducer_binding_domain-containing_protein_OS=Rhodobacterales_bacterium_OX=1948890_GN=I3V23_02690_PE=4_SV=1	unreviewed	A0A7S9WG76_9RHOB	Autoinducer binding domain-containing protein	I3V23_02690	Rhodobacterales bacterium	249	unclassified Rhodobacterales (no rank), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A7S9WG76	clade_2
tr|A0A7S9YUT8|A0A7S9YUT8_9SPHN_LuxR_family_transcriptional_regulator_OS=Sphingobium_sp._Cam5-1_OX=2789327_GN=IZV00_08505_PE=4_SV=1	unreviewed	A0A7S9YUT8_9SPHN	LuxR family transcriptional regulator	IZV00_08505	Sphingobium sp. Cam5-1	256	unclassified Sphingobium (no rank), Sphingobium (genus), Sphingomonadaceae (family), Sphingomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	3	tr|A0A7S9YUT8	clade_5
tr|A0A7T0RH99|A0A7T0RH99_9GAMM_LuxR_family_transcriptional_regulator_OS=Halomonas_sp._A40-4_OX=2785909_GN=IT895_07720_PE=4_SV=1	unreviewed	A0A7T0RH99_9GAMM	LuxR family transcriptional regulator	IT895_07720	Halomonas sp. A40-4	252	unclassified Halomonas (no rank), Halomonas (genus), Halomonadaceae (family), Oceanospirillales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	1	tr|A0A7T0RH99	clade_6
tr|A0A7T5QNM1|A0A7T5QNM1_PECCA_LuxR_family_transcriptional_regulator_OS=Pectobacterium_carotovorum_OX=554_GN=JFY74_19220_PE=4_SV=1	unreviewed	A0A7T5QNM1_PECCA	LuxR family transcriptional regulator	JFY74_19220	Pectobacterium carotovorum (Erwinia carotovora)	245	Pectobacterium (genus), Pectobacteriaceae (family), Enterobacterales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	14	tr|A0A7T5QNM1	clade_6
tr|A0A7U3Z179|A0A7U3Z179_9GAMM_Regulatory_protein_LuxR_OS=Serratia_sp._AS13_OX=768493_GN=SerAS13_1979_PE=4_SV=1	unreviewed	A0A7U3Z179_9GAMM	Regulatory protein LuxR	SerAS13_1979	Serratia sp. AS13	234	unclassified Serratia (no rank), Serratia (genus), Yersiniaceae (family), Enterobacterales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	1	tr|A0A7U3Z179	clade_6
tr|A0A7U4P820|A0A7U4P820_9BURK_LuxR_family_transcriptional_regulator_OS=Burkholderia_sp._Bp5365_OX=1740162_GN=AQ610_19445_PE=4_SV=1	unreviewed	A0A7U4P820_9BURK	LuxR family transcriptional regulator	AQ610_19445	Burkholderia sp. Bp5365	236	unclassified Burkholderia (no rank), Burkholderia (genus), Burkholderiaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	4	tr|A0A7U4P820	clade_6
tr|A0A7V5NXL8|A0A7V5NXL8_9PROT_LuxR_family_transcriptional_regulator_OS=Hellea_balneolensis_OX=287478_GN=ENK01_04230_PE=4_SV=1	unreviewed	A0A7V5NXL8_9PROT	LuxR family transcriptional regulator	ENK01_04230	Hellea balneolensis	250	Hellea (genus), Robiginitomaculaceae (family), Maricaulales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	3	tr|A0A7V5NXL8	clade_5
tr|A0A7V5QBB7|A0A7V5QBB7_9HYPH_LuxR_family_transcriptional_regulator_OS=Hyphomicrobiales_bacterium_OX=1909294_GN=ENJ57_03990_PE=4_SV=1	unreviewed	A0A7V5QBB7_9HYPH	LuxR family transcriptional regulator	ENJ57_03990	Hyphomicrobiales bacterium	243	unclassified Hyphomicrobiales (no rank), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A7V5QBB7	clade_5
tr|A0A7V9ANY9|A0A7V9ANY9_9BACT_Autoinducer_binding_domain-containing_protein_OS=Nitrospirales_bacterium_OX=2358460_GN=H0W13_00980_PE=4_SV=1	unreviewed	A0A7V9ANY9_9BACT	Autoinducer binding domain-containing protein	H0W13_00980	Nitrospirales bacterium	269	unclassified Nitrospirales (no rank), Nitrospirales (order), Nitrospira (class), Nitrospirae (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Nitrospira	11	tr|A0A7V9ANY9	clade_6
tr|A0A7W0X4R8|A0A7W0X4R8_9PROT_LuxR_family_transcriptional_regulator_OS=Betaproteobacteria_bacterium_OX=1891241_GN=H0T80_14795_PE=4_SV=1	unreviewed	A0A7W0X4R8_9PROT	LuxR family transcriptional regulator	H0T80_14795	Betaproteobacteria bacterium	261	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	1	tr|A0A7W0X4R8	clade_3
tr|A0A7W1AQ60|A0A7W1AQ60_9PROT_LuxR_family_transcriptional_regulator_OS=Betaproteobacteria_bacterium_OX=1891241_GN=H0T80_16910_PE=4_SV=1	unreviewed	A0A7W1AQ60_9PROT	LuxR family transcriptional regulator	H0T80_16910	Betaproteobacteria bacterium	265	unclassified Betaproteobacteria (no rank), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	3	tr|A0A7W1AQ60	clade_3
tr|A0A7W3WAI4|A0A7W3WAI4_9HYPH_Helix-turn-helix_transcriptional_regulator_OS=Rhizobium_sp._G21_OX=2758439_GN=H2O14_08395_PE=4_SV=1	unreviewed	A0A7W3WAI4_9HYPH	Helix-turn-helix transcriptional regulator	H2O14_08395	Rhizobium sp. G21	259	unclassified Rhizobium (no rank), Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A7W3WAI4	clade_1
tr|A0A7W3WC95|A0A7W3WC95_9HYPH_LuxR_family_transcriptional_regulator_OS=Rhizobium_sp._G21_OX=2758439_GN=H2O14_14035_PE=4_SV=1	unreviewed	A0A7W3WC95_9HYPH	LuxR family transcriptional regulator	H2O14_14035	Rhizobium sp. G21	247	unclassified Rhizobium (no rank), Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	4	tr|A0A7W3WC95	clade_1
tr|A0A7W3WEF0|A0A7W3WEF0_9HYPH_Autoinducer_binding_domain-containing_protein_OS=Rhizobium_sp._G21_OX=2758439_GN=H2O14_19500_PE=4_SV=1	unreviewed	A0A7W3WEF0_9HYPH	Autoinducer binding domain-containing protein	H2O14_19500	Rhizobium sp. G21	238	unclassified Rhizobium (no rank), Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A7W3WEF0	clade_5
tr|A0A7W6DLE7|A0A7W6DLE7_9RHOB_DNA-binding_CsgD_family_transcriptional_regulator_OS=Sagittula_marina_OX=943940_GN=GGQ68_001030_PE=4_SV=1	unreviewed	A0A7W6DLE7_9RHOB	DNA-binding CsgD family transcriptional regulator	GGQ68_001030	Sagittula marina	248	Sagittula (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A7W6DLE7	clade_4
tr|A0A7W6EII1|A0A7W6EII1_9HYPH_DNA-binding_CsgD_family_transcriptional_regulator_OS=Pseudochelatococcus_contaminans_OX=1538103_GN=FHS81_003225_PE=4_SV=1	unreviewed	A0A7W6EII1_9HYPH	DNA-binding CsgD family transcriptional regulator	FHS81_003225	Pseudochelatococcus contaminans	241	Pseudochelatococcus (genus), Beijerinckiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A7W6EII1	clade_4
tr|A0A7W6HL17|A0A7W6HL17_9HYPH_DNA-binding_CsgD_family_transcriptional_regulator_OS=Rhizobium_taibaishanense_OX=887144_GN=GGQ71_001206_PE=4_SV=1	unreviewed	A0A7W6HL17_9HYPH	DNA-binding CsgD family transcriptional regulator	GGQ71_001206	Rhizobium taibaishanense	255	Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	82	tr|A0A7W6HL17	clade_1
tr|A0A7W6K474|A0A7W6K474_9HYPH_LuxR_family_transcriptional_regulator_OS=Rhizobium_borbori_OX=485907_GN=GGQ66_002519_PE=4_SV=1	unreviewed	A0A7W6K474_9HYPH	LuxR family transcriptional regulator	GGQ66_002519	Rhizobium borbori	247	Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A7W6K474	clade_1
tr|A0A7W6S233|A0A7W6S233_9PROT_DNA-binding_CsgD_family_transcriptional_regulator_OS=Roseospira_goensis_OX=391922_GN=GGD88_002718_PE=4_SV=1	unreviewed	A0A7W6S233_9PROT	DNA-binding CsgD family transcriptional regulator	GGD88_002718	Roseospira goensis	251	Roseospira (genus), Rhodospirillaceae (family), Rhodospirillales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A7W6S233	clade_2
tr|A0A7W6VCA3|A0A7W6VCA3_RHIET_DNA-binding_CsgD_family_transcriptional_regulator_OS=Rhizobium_etli_OX=29449_GN=GGE46_004217_PE=4_SV=1	unreviewed	A0A7W6VCA3_RHIET	DNA-binding CsgD family transcriptional regulator	GGE46_004217	Rhizobium etli	264	Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	127	tr|A0A7W6VCA3	clade_1
tr|A0A7W6VT08|A0A7W6VT08_9HYPH_DNA-binding_CsgD_family_transcriptional_regulator_OS=Rhizobium_aethiopicum_OX=1138170_GN=GGD53_006343_PE=4_SV=1	unreviewed	A0A7W6VT08_9HYPH	DNA-binding CsgD family transcriptional regulator	GGD53_006343	Rhizobium aethiopicum	246	Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	54	tr|A0A7W6VT08	clade_1
tr|A0A7W7JYE6|A0A7W7JYE6_9SPHN_LuxR_family_quorum-sensing_system_transcriptional_regulator_CciR_OS=Sphingomonas_kyeonggiensis_OX=1268553_GN=HNP52_000091_PE=4_SV=1	unreviewed	A0A7W7JYE6_9SPHN	LuxR family quorum-sensing system transcriptional regulator CciR	HNP52_000091	Sphingomonas kyeonggiensis	263	Sphingomonas (genus), Sphingomonadaceae (family), Sphingomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	12	tr|A0A7W7JYE6	clade_5
tr|A0A7W7NV52|A0A7W7NV52_9SPHN_DNA-binding_CsgD_family_transcriptional_regulator_OS=Novosphingobium_chloroacetimidivorans_OX=1428314_GN=HNO88_001537_PE=4_SV=1	unreviewed	A0A7W7NV52_9SPHN	DNA-binding CsgD family transcriptional regulator	HNO88_001537	Novosphingobium chloroacetimidivorans	268	Novosphingobium (genus), Sphingomonadaceae (family), Sphingomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	8	tr|A0A7W7NV52	clade_3
tr|A0A7W8ERC5|A0A7W8ERC5_9HYPH_HTH-type_quorum_sensing-dependent_transcriptional_regulator_VjbR_OS=Pseudochrobactrum_saccharolyticum_OX=354352_GN=HNQ68_002926_PE=4_SV=1	unreviewed	A0A7W8ERC5_9HYPH	HTH-type quorum sensing-dependent transcriptional regulator VjbR	HNQ68_002926	Pseudochrobactrum saccharolyticum	269	Pseudochrobactrum (genus), Brucellaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	66	tr|A0A7W8ERC5	clade_4
tr|A0A7W8XTY2|A0A7W8XTY2_9HYPH_DNA-binding_CsgD_family_transcriptional_regulator_OS=Rhizobium_paranaense_OX=1650438_GN=GGD50_004178_PE=4_SV=1	unreviewed	A0A7W8XTY2_9HYPH	DNA-binding CsgD family transcriptional regulator	GGD50_004178	Rhizobium paranaense	268	Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	88	tr|A0A7W8XTY2	clade_1
tr|A0A7W9B0C0|A0A7W9B0C0_9HYPH_HTH-type_quorum_sensing-dependent_transcriptional_regulator_VjbR_OS=Brucella_daejeonensis_OX=659015_GN=FHS76_003825_PE=4_SV=1	unreviewed	A0A7W9B0C0_9HYPH	HTH-type quorum sensing-dependent transcriptional regulator VjbR	FHS76_003825	Brucella daejeonensis	247	Brucella (genus), Brucella/Ochrobactrum group (no rank), Brucellaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A7W9B0C0	clade_3
tr|A0A7W9Z186|A0A7W9Z186_9HYPH_DNA-binding_CsgD_family_transcriptional_regulator_OS=Pseudorhizobium_flavum_OX=1335061_GN=HNQ75_004051_PE=4_SV=1	unreviewed	A0A7W9Z186_9HYPH	DNA-binding CsgD family transcriptional regulator	HNQ75_004051	Pseudorhizobium flavum	249	Pseudorhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	3	tr|A0A7W9Z186	clade_6
tr|A0A7W9ZCT1|A0A7W9ZCT1_NOVIT_DNA-binding_CsgD_family_transcriptional_regulator_OS=Novispirillum_itersonii_OX=189_GN=FHS48_000492_PE=4_SV=1	unreviewed	A0A7W9ZCT1_NOVIT	DNA-binding CsgD family transcriptional regulator	FHS48_000492	Novispirillum itersonii (Aquaspirillum itersonii)	244	Novispirillum (genus), Rhodospirillaceae (family), Rhodospirillales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A7W9ZCT1	clade_6
tr|A0A7W9ZEU2|A0A7W9ZEU2_NOVIT_DNA-binding_CsgD_family_transcriptional_regulator_OS=Novispirillum_itersonii_OX=189_GN=FHS48_001617_PE=4_SV=1	unreviewed	A0A7W9ZEU2_NOVIT	DNA-binding CsgD family transcriptional regulator	FHS48_001617	Novispirillum itersonii (Aquaspirillum itersonii)	235	Novispirillum (genus), Rhodospirillaceae (family), Rhodospirillales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A7W9ZEU2	clade_6
tr|A0A7W9ZEY5|A0A7W9ZEY5_NOVIT_DNA-binding_CsgD_family_transcriptional_regulator_OS=Novispirillum_itersonii_OX=189_GN=FHS48_001677_PE=4_SV=1	unreviewed	A0A7W9ZEY5_NOVIT	DNA-binding CsgD family transcriptional regulator	FHS48_001677	Novispirillum itersonii (Aquaspirillum itersonii)	250	Novispirillum (genus), Rhodospirillaceae (family), Rhodospirillales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A7W9ZEY5	clade_2
tr|A0A7X3FZ39|A0A7X3FZ39_9BURK_HTH_luxR-type_domain-containing_protein_OS=Massilia_sp._NEAU-DD11_OX=2683234_GN=GPY61_10930_PE=4_SV=1	unreviewed	A0A7X3FZ39_9BURK	HTH luxR-type domain-containing protein	GPY61_10930	Massilia sp. NEAU-DD11	263	unclassified Massilia (no rank), Massilia (genus), Massilia group (no rank), Oxalobacteraceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	2	tr|A0A7X3FZ39	clade_6
tr|A0A7X4DQG5|A0A7X4DQG5_9RHOB_HTH_luxR-type_domain-containing_protein_OS=Boseongicola_sp._SB0675_bin_26_OX=2604849_GN=F4145_07585_PE=4_SV=1	unreviewed	A0A7X4DQG5_9RHOB	HTH luxR-type domain-containing protein	F4145_07585	Boseongicola sp. SB0675_bin_26	269	unclassified Boseongicola (no rank), Boseongicola (genus), Paracoccaceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A7X4DQG5	clade_6
tr|A0A7X5QNF9|A0A7X5QNF9_9GAMM_Transcriptional_regulator_OS=Photorhabdus_stackebrandtii_OX=1123042_GN=C5470_14635_PE=4_SV=1	unreviewed	A0A7X5QNF9_9GAMM	Transcriptional regulator	C5470_14635	Photorhabdus stackebrandtii	243	Photorhabdus (genus), Morganellaceae (family), Enterobacterales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	32	tr|A0A7X5QNF9	clade_2
tr|A0A7X6FMZ9|A0A7X6FMZ9_9HYPH_LuxR_family_transcriptional_activator_of_conjugal_transfer_of_Ti_plasmids_OS=Rhizobium_sp._SG570_OX=2587113_GN=FHT28_006189_PE=4_SV=1	unreviewed	A0A7X6FMZ9_9HYPH	LuxR family transcriptional activator of conjugal transfer of Ti plasmids	FHT28_006189	Rhizobium sp. SG570	250	unclassified Rhizobium (no rank), Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	174	tr|A0A7X6FMZ9	clade_4
tr|A0A7X6H3C4|A0A7X6H3C4_9RHOB_LuxR_family_transcriptional_regulator_OS=Roseibacterium_persicicum_OX=2650661_GN=HCU73_15635_PE=4_SV=1	unreviewed	A0A7X6H3C4_9RHOB	LuxR family transcriptional regulator	HCU73_15635	Roseibacterium persicicum	268	Roseibacterium (genus), Roseobacteraceae (family), Rhodobacterales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A7X6H3C4	clade_2
tr|A0A7X8XTG6|A0A7X8XTG6_9HYPH_HTH_luxR-type_domain-containing_protein_OS=Rhizobium_sp._P28RR-XV_OX=2726737_GN=HGP12_32390_PE=4_SV=1	unreviewed	A0A7X8XTG6_9HYPH	HTH luxR-type domain-containing protein	HGP12_32390	Rhizobium sp. P28RR-XV	256	unclassified Rhizobium (no rank), Rhizobium (genus), Rhizobium/Agrobacterium group (no rank), Rhizobiaceae (family), Hyphomicrobiales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	5	tr|A0A7X8XTG6	clade_5
tr|A0A7Y1SLS0|A0A7Y1SLS0_9PROT_HTH_luxR-type_domain-containing_protein_OS=Hyphomonadaceae_bacterium_OX=2026748_GN=HKO02_09500_PE=4_SV=1	unreviewed	A0A7Y1SLS0_9PROT	HTH luxR-type domain-containing protein	HKO02_09500	Hyphomonadaceae bacterium	242	unclassified Hyphomonadaceae (no rank), Hyphomonadaceae (family), Hyphomonadales (order), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A7Y1SLS0	clade_3
tr|A0A7Y4FIK3|A0A7Y4FIK3_9VIBR_LuxR_family_transcriptional_regulator_OS=Vibrio_sp._99-8-1_OX=2607602_GN=F0227_19985_PE=4_SV=1	unreviewed	A0A7Y4FIK3_9VIBR	LuxR family transcriptional regulator	F0227_19985	Vibrio sp. 99-8-1	256	unclassified Vibrio (no rank), Vibrio (genus), Vibrionaceae (family), Vibrionales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	24	tr|A0A7Y4FIK3	clade_6
tr|A0A7Y4FKG0|A0A7Y4FKG0_9VIBR_LuxR_family_transcriptional_regulator_OS=Vibrio_sp._99-8-1_OX=2607602_GN=F0227_19975_PE=4_SV=1	unreviewed	A0A7Y4FKG0_9VIBR	LuxR family transcriptional regulator	F0227_19975	Vibrio sp. 99-8-1	262	unclassified Vibrio (no rank), Vibrio (genus), Vibrionaceae (family), Vibrionales (order), Gammaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Gammaproteobacteria	2	tr|A0A7Y4FKG0	clade_6
tr|A0A7Y4SI83|A0A7Y4SI83_9PROT_LuxR_family_transcriptional_regulator_OS=Sideroxydans_sp_OX=2067989_GN=HOP24_10500_PE=4_SV=1	unreviewed	A0A7Y4SI83_9PROT	LuxR family transcriptional regulator	HOP24_10500	Sideroxydans sp	241	unclassified Sideroxydans (no rank), Sideroxydans (genus), Gallionellaceae (family), Nitrosomonadales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	1	tr|A0A7Y4SI83	clade_6
tr|A0A7Y4T5M6|A0A7Y4T5M6_9PROT_HTH_luxR-type_domain-containing_protein_OS=Alphaproteobacteria_bacterium_OX=1913988_GN=HOP13_00985_PE=4_SV=1	unreviewed	A0A7Y4T5M6_9PROT	HTH luxR-type domain-containing protein	HOP13_00985	Alphaproteobacteria bacterium	242	unclassified Alphaproteobacteria (no rank), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A7Y4T5M6	clade_1
tr|A0A7Y4TCA6|A0A7Y4TCA6_9PROT_HTH_luxR-type_domain-containing_protein_OS=Alphaproteobacteria_bacterium_OX=1913988_GN=HOP13_20865_PE=4_SV=1	unreviewed	A0A7Y4TCA6_9PROT	HTH luxR-type domain-containing protein	HOP13_20865	Alphaproteobacteria bacterium	240	unclassified Alphaproteobacteria (no rank), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A7Y4TCA6	clade_5
tr|A0A7Y4WRD5|A0A7Y4WRD5_9PROT_HTH_luxR-type_domain-containing_protein_OS=Alphaproteobacteria_bacterium_OX=1913988_GN=HOP13_10385_PE=4_SV=1	unreviewed	A0A7Y4WRD5_9PROT	HTH luxR-type domain-containing protein	HOP13_10385	Alphaproteobacteria bacterium	238	unclassified Alphaproteobacteria (no rank), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	2	tr|A0A7Y4WRD5	clade_1
tr|A0A7Y6TZB3|A0A7Y6TZB3_9BURK_Autoinducer_binding_domain-containing_protein_OS=Schlegelella_koreensis_OX=2742824_GN=HQN59_25630_PE=4_SV=1	unreviewed	A0A7Y6TZB3_9BURK	Autoinducer binding domain-containing protein	HQN59_25630	Schlegelella koreensis	254	Schlegelella (genus), Sphaerotilaceae (family), Burkholderiales (order), Betaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Betaproteobacteria	1	tr|A0A7Y6TZB3	clade_2
tr|A0A7Y6Y2X4|A0A7Y6Y2X4_9PROT_LuxR_family_transcriptional_regulator_OS=Alphaproteobacteria_bacterium_OX=1913988_GN=HWE08_13910_PE=4_SV=1	unreviewed	A0A7Y6Y2X4_9PROT	LuxR family transcriptional regulator	HWE08_13910	Alphaproteobacteria bacterium	250	unclassified Alphaproteobacteria (no rank), Alphaproteobacteria (class), Pseudomonadota (phylum), Bacteria (superkingdom), cellular organisms (no rank)	Alphaproteobacteria	1	tr|A0A7Y6Y2X4	clade_5
